序号,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比,今日主力净流入最大股
171,化妆品,-0.86,-29570180.0,-2.57,-41458667.0,-3.61,11888487.0,1.03,20347440.0,1.77,8621312.0,0.75,嘉亨家化
172,钴,-2.18,-29645762.0,-5.61,-17145327.0,-3.24,-12500435.0,-2.36,-2918000.0,-0.55,32563764.0,6.16,腾远钴业
173,清洁小家电,-1.1,-29921665.0,-3.66,-28399306.0,-3.47,-1522359.0,-0.19,14682608.0,1.79,15239056.0,1.86,开能健康
174,其他酒类,-1.18,-30105541.0,-5.19,-2387349.0,-0.41,-27718192.0,-4.78,16814854.0,2.9,13290687.0,2.29,中信尼雅
175,图片媒体,-2.57,-30193277.0,-7.01,-10199926.0,-2.37,-19993351.0,-4.64,26030359.0,6.05,4162918.0,0.97,视觉中国
176,特种纸,-1.46,-30529631.0,-2.83,-28351463.0,-2.63,-2178168.0,-0.2,-9150416.0,-0.85,18909952.0,1.75,齐峰新材
177,食用菌,-2.65,-30737208.0,-8.09,-4918131.0,-1.29,-25819077.0,-6.79,11979922.0,3.15,18757286.0,4.94,博闻科技
178,水泥制品,-1.26,-31662932.0,-5.08,-18768022.0,-3.01,-12894910.0,-2.07,-20431427.0,-3.28,52094352.0,8.35,垒知集团
179,机床工具,-0.69,-32398232.0,-1.63,-12020696.0,-0.61,-20377536.0,-1.03,14899344.0,0.75,14966224.0,0.75,乔锋智能
180,渔业,-1.52,-32512843.0,-6.07,-2887637.0,-0.54,-29625206.0,-5.53,-7956129.0,-1.49,40468972.0,7.56,好当家
181,厨房小家电,-0.83,-33219732.0,-4.45,-31000273.0,-4.15,-2219459.0,-0.3,-1803524.0,-0.24,34907104.0,4.67,北鼎股份
182,其他养殖,-2.74,-33232265.0,-15.21,-14732407.0,-6.74,-18499858.0,-8.47,9038281.0,4.14,24193985.0,11.07,福成股份
183,生活用纸,-1.37,-33809788.0,-4.04,-23831721.0,-2.85,-9978067.0,-1.19,-41089910.0,-4.91,74899696.0,8.95,依依股份
184,自然景区,-0.7,-34157957.0,-2.52,1759178.0,0.13,-35917135.0,-2.65,13664496.0,1.01,20493456.0,1.51,桂林旅游
185,租赁,0.09,-34297036.0,-4.03,19968028.0,2.35,-54265064.0,-6.38,23674678.0,2.78,10622352.0,1.25,渤海租赁
186,跨境物流,-0.81,-34424896.0,-3.08,-10220763.0,-0.91,-24204133.0,-2.16,-8604896.0,-0.77,40620528.0,3.63,东航物流
187,定制家居,-1.93,-34586583.0,-2.75,-22171384.0,-1.77,-12415199.0,-0.99,5730528.0,0.46,29624960.0,2.36,皮阿诺
188,涂料油墨,-1.83,-34759327.0,-3.67,-6605849.0,-0.7,-28153478.0,-2.97,39637424.0,4.19,-4878096.0,-0.52,联合化学
189,普钢,-1.13,-35371840.0,-0.54,55870512.0,0.85,-91242352.0,-1.39,-50652288.0,-0.77,86024144.0,1.31,杭钢股份
190,酒店,0.07,-37936832.0,-3.61,-7697305.0,-0.73,-30239527.0,-2.87,38707248.0,3.68,-770432.0,-0.07,君亭酒店
191,人工景区,-0.15,-38473776.0,-6.97,-634281.0,-0.11,-37839495.0,-6.85,6775537.0,1.23,31698238.0,5.74,云南旅游
192,宠物食品,-1.36,-38523606.0,-8.43,-12095910.0,-2.65,-26427696.0,-5.79,-35910335.0,-7.86,74739068.0,16.36,路斯股份
193,有机硅,-1.58,-39298972.0,-3.69,-32431236.0,-3.04,-6867736.0,-0.64,36734432.0,3.45,2564544.0,0.24,回天新材
194,保健品,-1.07,-39677944.0,-4.69,-40300916.0,-4.76,622972.0,0.07,5186770.0,0.61,34202928.0,4.04,百合股份
195,非白酒,-0.96,-39929872.0,-2.54,-19447056.0,-1.24,-20482816.0,-1.3,36684144.0,2.33,3245728.0,0.21,中信尼雅
196,成品家居,-1.33,-40106433.0,-3.36,-27047041.0,-2.27,-13059392.0,-1.09,12651952.0,1.06,28201712.0,2.36,梦百合
197,钢结构,-1.42,-41875209.0,-3.99,-13631320.0,-1.3,-28243889.0,-2.69,2911088.0,0.28,37502688.0,3.58,杭萧钢构
198,卫浴电器,-1.69,-42356258.0,-8.59,-11876566.0,-2.41,-30479692.0,-6.18,-4909377.0,-1.0,47265635.0,9.59,奥普科技
199,个护用品,-0.97,-42849974.0,-3.98,-25234897.0,-2.35,-17615077.0,-1.64,-40151712.0,-3.73,83001696.0,7.72,润本股份
200,商业地产,-1.26,-43267842.0,-2.91,-119761522.0,-8.04,76493680.0,5.14,78567552.0,5.28,-35299728.0,-2.37,招商蛇口
201,粮油加工,-1.19,-43327264.0,-2.43,-5930432.0,-0.33,-37396832.0,-2.1,-34640688.0,-1.94,77967968.0,4.37,金健米业
202,民爆制品,-1.02,-43972800.0,-1.09,-66156848.0,-1.64,22184048.0,0.55,41012320.0,1.01,2960464.0,0.07,雪峰科技
203,其他黑色家电,-1.14,-44716210.0,-6.04,-17717473.0,-2.39,-26998737.0,-3.65,641102.0,0.09,44075104.0,5.95,四川九洲
204,专业连锁Ⅱ,-0.45,-45399074.0,-3.74,-25301629.0,-2.09,-20097445.0,-1.66,20837168.0,1.72,24561904.0,2.03,博士眼镜
205,专业连锁Ⅲ,-0.45,-45399074.0,-3.74,-25301629.0,-2.09,-20097445.0,-1.66,20837168.0,1.72,24561904.0,2.03,博士眼镜
206,磨具磨料,-2.0,-45480242.0,-1.45,-43317730.0,-1.38,-2162512.0,-0.07,-7405984.0,-0.24,48056336.0,1.53,金太阳
207,教育出版,-0.31,-45886946.0,-6.1,-12213343.0,-1.62,-33673603.0,-4.48,-24190864.0,-3.22,70077808.0,9.32,南方传媒
208,横向通用软件,-1.23,-45909888.0,-0.52,-14602992.0,-0.17,-31306896.0,-0.35,44741376.0,0.51,1168512.0,0.01,每日互动
209,玻璃制造,-2.01,-46598353.0,-4.55,-26879777.0,-2.62,-19718576.0,-1.92,32197648.0,3.14,14400720.0,1.4,旗滨集团
210,酒店餐饮,-0.14,-47127780.0,-3.8,-18537141.0,-1.49,-28590639.0,-2.31,38533632.0,3.11,8594160.0,0.69,君亭酒店
211,零食,-1.62,-48179196.0,-4.26,-26182594.0,-2.31,-21996602.0,-1.94,38841888.0,3.43,9337312.0,0.83,洽洽食品
212,印刷包装机械,-1.49,-49076530.0,-2.85,-16125202.0,-0.94,-32951328.0,-1.92,-16110912.0,-0.94,65528288.0,3.81,爱司凯
213,水泥,-0.88,-49194995.0,-1.75,-47246051.0,-1.68,-1948944.0,-0.07,-74469520.0,-2.65,123664512.0,4.4,海螺水泥
214,门户网站,-0.76,-49203104.0,-1.34,-2470688.0,-0.07,-46732416.0,-1.27,73811264.0,2.01,-24608144.0,-0.67,值得买
215,其他运输设备,0.15,-49543301.0,-2.24,31664635.0,1.43,-81207936.0,-3.66,-32739408.0,-1.48,82282704.0,3.71,久祺股份
216,其他塑料制品,-2.02,-49696869.0,-1.39,-34346325.0,-0.96,-15350544.0,-0.43,36558368.0,1.02,-22421376.0,-0.63,沧州明珠
217,涤纶,-2.14,-49735290.0,-4.26,-18334845.0,-1.57,-31400445.0,-2.69,-31300400.0,-2.68,81035696.0,6.94,新凤鸣
218,电信运营商,0.12,-50481872.0,-2.39,-54637888.0,-2.59,4156016.0,0.2,-49483040.0,-2.34,99964928.0,4.73,中国联通
219,预加工食品,-0.3,-52173288.0,-3.04,-56506584.0,-3.29,4333296.0,0.25,23170768.0,1.35,26925904.0,1.57,海欣食品
220,乳品,-1.06,-52224182.0,-2.63,-35355574.0,-1.78,-16868608.0,-0.85,-39479472.0,-1.99,85779872.0,4.32,三元股份
221,橡胶助剂,-3.63,-54403460.0,-12.33,-15816325.0,-3.58,-38587135.0,-8.74,16799762.0,3.81,37603698.0,8.52,阳谷华泰
222,休闲食品,-1.23,-55337449.0,-3.03,-31255753.0,-1.71,-24081696.0,-1.32,27976688.0,1.53,27360752.0,1.5,青岛食品
223,炭黑,-3.19,-55630547.0,-8.95,-24233148.0,-3.9,-31397399.0,-5.05,5864658.0,0.94,49765895.0,8.01,龙星科技
224,其他医疗服务,-0.31,-56465617.0,-3.5,-51718545.0,-3.2,-4747072.0,-0.29,50326320.0,3.12,2221328.0,0.14,数字人
225,农商行Ⅲ,0.46,-57554258.0,-3.41,-26818754.0,-1.59,-30735504.0,-1.82,-12618240.0,-0.75,70172512.0,4.16,常熟银行
226,机场,-0.06,-58466934.0,-8.61,-18606407.0,-2.74,-39860527.0,-5.87,4821201.0,0.71,53645737.0,7.9,厦门空港
227,其他建材Ⅲ,-1.23,-58652483.0,-3.26,-17634051.0,-0.98,-41018432.0,-2.28,35122688.0,1.95,23529792.0,1.31,开尔新材
228,培训教育,-1.22,-60614961.0,-6.87,-37937137.0,-4.3,-22677824.0,-2.57,23809664.0,2.7,36805296.0,4.17,ST开元
229,印刷,-1.88,-61701251.0,-6.3,-31452735.0,-3.21,-30248516.0,-3.09,40604864.0,4.15,20777216.0,2.12,盛通股份
230,卫浴制品,-2.34,-63167924.0,-11.83,-51522122.0,-9.65,-11645802.0,-2.18,24971240.0,4.68,38196682.0,7.16,建霖家居
231,房屋建设Ⅲ,0.1,-63541888.0,-2.06,-41407488.0,-1.34,-22134400.0,-0.72,-43628592.0,-1.41,107170464.0,3.47,浙江建投
232,房屋建设Ⅱ,0.1,-63541888.0,-2.06,-41407488.0,-1.34,-22134400.0,-0.72,-43628592.0,-1.41,107170464.0,3.47,浙江建投
233,运动服装,-0.46,-66052509.0,-7.19,7383462.0,0.8,-73435971.0,-7.99,-9464420.0,-1.03,75516923.0,8.22,嘉麟杰
234,原材料供应链服务,-1.55,-68244464.0,-5.23,-46098129.0,-3.53,-22146335.0,-1.7,-4189504.0,-0.32,72433968.0,5.55,上海雅仕
235,塑料包装,-1.38,-71781263.0,-7.0,-53390625.0,-5.21,-18390638.0,-1.79,27955760.0,2.73,39433456.0,3.84,沪江材料
236,小家电,-1.25,-72047942.0,-3.88,-63638566.0,-3.43,-8409376.0,-0.45,3675584.0,0.2,57179504.0,3.08,开能健康
237,疫苗,-1.24,-72151555.0,-3.38,-26531555.0,-1.24,-45620000.0,-2.14,-14685344.0,-0.69,79144000.0,3.71,康希诺
238,教育,-1.13,-74027871.0,-5.27,-36586783.0,-2.61,-37441088.0,-2.67,33129744.0,2.36,40898128.0,2.91,豆神教育
239,纯碱,-2.46,-74260770.0,-7.65,-18878019.0,-1.94,-55382751.0,-5.7,-15483360.0,-1.59,89744128.0,9.24,江盐集团
240,产业地产,-0.82,-74648406.0,-7.11,-46701680.0,-4.45,-27946726.0,-2.66,-10706416.0,-1.02,85354816.0,8.13,上海临港
241,旅游综合,-1.48,-74986020.0,-7.16,-17224141.0,-1.65,-57761879.0,-5.52,32688544.0,3.12,42297456.0,4.04,天府文旅
242,轮胎轮毂,-1.15,-75719541.0,-3.12,-30560853.0,-1.26,-45158688.0,-1.86,-41608128.0,-1.71,117327664.0,4.83,兴民智通
243,化学工程,-2.49,-77864051.0,-5.02,-127559603.0,-8.23,49695552.0,3.2,76490144.0,4.93,1373920.0,0.09,百利科技
244,多业态零售,-1.07,-78219433.0,-9.34,-18573162.0,-2.22,-59646271.0,-7.12,4774935.0,0.57,73444496.0,8.77,益民集团
245,铁路公路,-0.31,-79072240.0,-1.65,-113277008.0,-2.36,34204768.0,0.71,62368176.0,1.3,16704096.0,0.35,东莞控股
246,电工仪器仪表,-2.41,-79720353.0,-3.14,-78795697.0,-3.1,-924656.0,-0.04,63752560.0,2.51,12175760.0,0.48,华盛昌
247,金属新材料,-0.93,-79737904.0,-1.01,-64971504.0,-0.83,-14766400.0,-0.19,39629440.0,0.5,33728448.0,0.43,正海磁材
248,粮食种植,-5.1,-84945149.0,-4.56,-51950797.0,-2.79,-32994352.0,-1.77,44121344.0,2.37,40823792.0,2.19,苏垦农发
249,美容护理,-0.87,-86406577.0,-3.17,-79940785.0,-2.93,-6465792.0,-0.24,-24136208.0,-0.89,96750784.0,3.55,嘉亨家化
250,钟表珠宝,-1.13,-87931023.0,-6.32,-23677329.0,-1.7,-64253694.0,-4.62,-20972400.0,-1.51,108903408.0,7.83,菜百股份
251,制冷空调设备,-1.51,-87950031.0,-2.37,-16139359.0,-0.43,-71810672.0,-1.93,77276352.0,2.08,8578352.0,0.23,英特科技
252,特钢Ⅲ,-1.9,-88062081.0,-4.85,-47622897.0,-2.62,-40439184.0,-2.23,-17016672.0,-0.94,105078752.0,5.79,中信特钢
253,特钢Ⅱ,-1.9,-88062081.0,-4.85,-47622897.0,-2.62,-40439184.0,-2.23,-17016672.0,-0.94,105078752.0,5.79,中信特钢
254,航空运输,-0.86,-88705744.0,-2.72,-70155568.0,-2.15,-18550176.0,-0.57,79411056.0,2.43,9294688.0,0.28,中国东航
255,大众出版,-0.86,-91582440.0,-3.36,-30123864.0,-1.11,-61458576.0,-2.26,26075728.0,0.96,65506704.0,2.41,果麦文化
256,铁路运输,0.2,-92809024.0,-3.58,-94575728.0,-3.65,1766704.0,0.07,34583328.0,1.34,58225680.0,2.25,中铁特货
257,其他金属新材料,-1.53,-93122592.0,-1.92,-53952208.0,-1.11,-39170384.0,-0.81,35875632.0,0.74,50866912.0,1.05,博迁新材
258,文字媒体,-1.7,-95050268.0,-5.86,-33232028.0,-2.05,-61818240.0,-3.81,-1503568.0,-0.09,96553840.0,5.95,掌阅科技
259,饲料,-1.09,-97702706.0,-4.24,-40712882.0,-1.77,-56989824.0,-2.48,-50030544.0,-2.17,148038368.0,6.43,天马科技
260,饰品,-1.13,-98148524.0,-6.87,-29121267.0,-2.04,-69027257.0,-4.83,-16904576.0,-1.18,115053104.0,8.06,菜百股份
261,其他农产品加工,-2.8,-98269662.0,-7.25,-28665819.0,-2.12,-69603843.0,-5.14,12003344.0,0.89,78785728.0,5.82,晨光生物
262,金融信息服务,-2.75,-100350875.0,-11.12,-67188012.0,-7.45,-33162863.0,-3.68,15701152.0,1.74,84649732.0,9.38,翠微股份
263,其他家居用品,-0.58,-102596711.0,-4.52,-65848263.0,-2.9,-36748448.0,-1.62,32581216.0,1.44,70015472.0,3.08,茶花股份
264,肉制品,-2.27,-103123660.0,-8.85,-69889186.0,-6.0,-33234474.0,-2.85,12273264.0,1.05,90850416.0,7.8,双汇发展
265,水力发电,-1.5,-103258832.0,-1.45,192182784.0,2.69,-295441616.0,-4.14,-340632688.0,-4.77,443891520.0,6.22,闽东电力
266,膜材料,-1.97,-104400368.0,-1.39,75912224.0,1.01,-180312592.0,-2.39,20762208.0,0.28,83638160.0,1.11,大东南
267,畜禽饲料,-1.75,-106345647.0,-10.4,-48551471.0,-4.75,-57794176.0,-5.65,6424752.0,0.63,99920896.0,9.78,正虹科技
268,多元金融,-1.48,-108806320.0,-1.3,-46994816.0,-0.56,-61811504.0,-0.74,-9559296.0,-0.11,118365616.0,1.42,中油资本
269,大宗用纸,-1.97,-108927050.0,-6.92,-40991098.0,-2.6,-67935952.0,-4.32,5946560.0,0.38,102980480.0,6.54,林平发展
270,装修建材,-1.41,-109351793.0,-3.03,-32418065.0,-0.9,-76933728.0,-2.13,65241088.0,1.81,38866672.0,1.08,凯伦股份
271,水务及水治理,-2.03,-110135022.0,-2.09,-59939102.0,-1.14,-50195920.0,-0.95,95528560.0,1.81,14606464.0,0.28,中赋科技
272,其他汽车零部件,-0.95,-114306000.0,-1.09,-140351664.0,-1.34,26045664.0,0.25,-33637328.0,-0.32,150246336.0,1.44,华达科技
273,纺织制造,-0.77,-117755567.0,-3.61,-19500175.0,-0.6,-98255392.0,-3.01,-45345232.0,-1.39,163048160.0,4.99,聚杰微纤
274,其他生物制品,-0.51,-123286016.0,-1.26,-6250816.0,-0.06,-117035200.0,-1.19,-129267456.0,-1.32,241201760.0,2.46,甘李药业
275,彩电,0.19,-126814142.0,-6.47,-99791726.0,-5.09,-27022416.0,-1.38,22460064.0,1.15,104354064.0,5.32,*ST高斯
276,综合Ⅲ,-1.19,-129292592.0,-2.91,-89863728.0,-2.02,-39428864.0,-0.89,62978832.0,1.42,66313744.0,1.49,东阳光
277,综合Ⅱ,-1.19,-129292592.0,-2.91,-89863728.0,-2.02,-39428864.0,-0.89,62978832.0,1.42,66313744.0,1.49,东阳光
278,综合,-1.19,-129292592.0,-2.91,-89863728.0,-2.02,-39428864.0,-0.89,62978832.0,1.42,66313744.0,1.49,东阳光
279,港口,-0.37,-133134986.0,-4.7,-56931786.0,-2.01,-76203200.0,-2.69,23805872.0,0.84,109329104.0,3.86,秦港股份
280,出版,-0.66,-137469382.0,-3.96,-42337206.0,-1.22,-95132176.0,-2.74,1884864.0,0.05,135584512.0,3.9,果麦文化
281,光伏发电,-3.14,-137751760.0,-0.97,494872896.0,3.5,-632624656.0,-4.48,-461718336.0,-3.27,599469968.0,4.24,拓日新能
282,电商服务,-2.31,-137775648.0,-10.17,-93032841.0,-6.87,-44742807.0,-3.3,26333744.0,1.94,111441888.0,8.23,丽人丽妆
283,棉纺,-0.54,-138279094.0,-9.99,-64009956.0,-4.62,-74269138.0,-5.36,-19286080.0,-1.39,157565168.0,11.38,健盛集团
284,橡胶,-2.69,-138345565.0,-4.92,-67528621.0,-2.4,-70816944.0,-2.52,37481664.0,1.33,56214768.0,2.0,元创股份
285,造纸,-1.7,-139456673.0,-5.26,-69342561.0,-2.61,-70114112.0,-2.64,-3203840.0,-0.12,121890432.0,4.59,林平发展
286,农产品加工,-1.89,-142845392.0,-3.87,-17587200.0,-0.48,-125258192.0,-3.39,-28165680.0,-0.76,157867824.0,4.28,金健米业
287,钛白粉,-3.48,-143986905.0,-11.38,-80683974.0,-6.38,-63302931.0,-5.0,-9327008.0,-0.74,153313920.0,12.12,安 纳 达
288,电视广播Ⅲ,-0.86,-145206074.0,-4.7,-152054842.0,-4.92,6848768.0,0.22,17012448.0,0.55,146131280.0,4.73,流金科技
289,电视广播Ⅱ,-0.86,-145206074.0,-4.7,-152054842.0,-4.92,6848768.0,0.22,17012448.0,0.55,146131280.0,4.73,流金科技
290,航空机场,-0.58,-147172704.0,-3.73,-88761984.0,-2.25,-58410720.0,-1.48,84232272.0,2.14,62940432.0,1.6,中国东航
291,旅游及景区,-0.84,-147617756.0,-5.0,-16099244.0,-0.54,-131518512.0,-4.45,53128576.0,1.8,94489168.0,3.2,天府文旅
292,环保设备Ⅲ,-1.84,-147964064.0,-3.06,-73713440.0,-1.53,-74250624.0,-1.54,105398624.0,2.18,42022832.0,0.87,盈峰环境
293,环保设备Ⅱ,-1.84,-147964064.0,-3.06,-73713440.0,-1.53,-74250624.0,-1.54,105398624.0,2.18,42022832.0,0.87,盈峰环境
294,商业物业经营,-1.42,-149161673.0,-9.55,-60006057.0,-3.84,-89155616.0,-5.71,64862688.0,4.15,84298976.0,5.4,锦和商管
295,互联网电商,-1.36,-149898752.0,-5.7,-112307664.0,-4.27,-37591088.0,-1.43,33855856.0,1.29,116042896.0,4.42,焦点科技
296,金属包装,-1.96,-151927403.0,-5.56,-138051451.0,-5.05,-13875952.0,-0.51,90841120.0,3.33,61086288.0,2.24,中锐股份
297,超市,-0.7,-153899022.0,-14.47,-104576734.0,-9.83,-49322288.0,-4.64,25886432.0,2.43,128012592.0,12.03,三江购物
298,其他石化,-1.99,-154598696.0,-6.16,-112317064.0,-4.48,-42281632.0,-1.69,47500720.0,1.89,107097984.0,4.27,齐翔腾达
299,非运动服装,-0.79,-155502739.0,-4.3,-39216083.0,-1.08,-116286656.0,-3.22,-136152928.0,-3.76,291655680.0,8.06,棒杰股份
300,核力发电,-1.07,-156967424.0,-6.4,-116078960.0,-4.73,-40888464.0,-1.67,87120064.0,3.55,69847376.0,2.85,电投产融
301,安防设备,-1.37,-157147101.0,-4.43,-105912189.0,-2.98,-51234912.0,-1.44,157017648.0,4.43,-15501072.0,-0.44,佳缘科技
302,汽车电子电气系统,-0.66,-163191808.0,-2.41,-160037088.0,-2.37,-3154720.0,-0.05,129325248.0,1.91,28775392.0,0.43,松芝股份
303,黑色家电,-0.6,-171530352.0,-6.35,-117509200.0,-4.35,-54021152.0,-2.0,23101168.0,0.86,148429168.0,5.49,四川九洲
304,数字媒体,-1.16,-181811616.0,-2.96,-44863376.0,-0.73,-136948240.0,-2.23,99803616.0,1.63,82008000.0,1.34,值得买
305,大气治理,-0.6,-185518648.0,-9.06,-131949768.0,-6.44,-53568880.0,-2.61,91080624.0,4.45,94162752.0,4.6,中创环保
306,软饮料,-2.08,-193514112.0,-6.82,31104528.0,1.1,-224618640.0,-7.92,-64741136.0,-2.28,258255248.0,9.1,欢乐家
307,食品加工,-1.07,-194974890.0,-5.23,-166696682.0,-4.47,-28278208.0,-0.76,40630784.0,1.09,151979248.0,4.08,海欣食品
308,其他化学纤维,-3.16,-197606288.0,-9.48,-75458304.0,-3.62,-122147984.0,-5.86,-2753184.0,-0.13,166673600.0,8.0,蒙泰高新
309,硅料硅片,-3.37,-203577580.0,-9.22,-119690748.0,-5.42,-83886832.0,-3.8,26090368.0,1.18,177487216.0,8.04,华民股份
310,通用设备,-1.02,-203886848.0,-0.34,-89551616.0,-0.15,-114335232.0,-0.19,434286336.0,0.73,-271330560.0,-0.46,巨力索具
311,聚氨酯,-1.66,-209410524.0,-7.21,-151785580.0,-5.23,-57624944.0,-1.98,13483808.0,0.46,195726320.0,6.74,美瑞新材
312,综合环境治理,-3.1,-210998356.0,-11.43,-154267604.0,-8.36,-56730752.0,-3.07,72304544.0,3.92,138693792.0,7.51,南大环境
313,乘用车,0.04,-211491312.0,-1.73,-116696000.0,-0.96,-94795312.0,-0.78,55980432.0,0.46,155510864.0,1.27,上汽集团
314,其他种植业,-4.87,-215536134.0,-11.99,-114072022.0,-6.35,-101464112.0,-5.64,60124432.0,3.34,155411696.0,8.64,宏辉果蔬
315,铁矿石,-3.16,-219319942.0,-10.83,-82511126.0,-4.07,-136808816.0,-6.75,-22418784.0,-1.11,241738720.0,11.93,金岭矿业
316,生物制品,-0.74,-223084960.0,-1.79,-53987296.0,-0.43,-169097664.0,-1.36,-131176752.0,-1.05,335217216.0,2.7,甘李药业
317,通信应用增值服务,-1.69,-226410688.0,-1.91,-202121920.0,-1.71,-24288768.0,-0.21,156087024.0,1.32,70323664.0,0.59,数据港
318,镍,-1.71,-229722416.0,-8.74,-115874192.0,-4.41,-113848224.0,-4.33,63414544.0,2.41,166307872.0,6.33,华友钴业
319,氯碱,-2.51,-229973064.0,-6.35,-157739976.0,-4.36,-72233088.0,-2.0,-19417584.0,-0.54,249390640.0,6.89,航锦科技
320,化学纤维,-2.02,-235228096.0,-4.27,-70728336.0,-1.28,-164499760.0,-2.98,-62285936.0,-1.13,263828160.0,4.78,恒天海龙
321,百货,-1.36,-240332444.0,-8.84,-105549964.0,-3.88,-134782480.0,-4.96,31383024.0,1.15,208949440.0,7.69,广百股份
322,热力服务,-1.7,-241923792.0,-3.07,-124200128.0,-1.57,-117723664.0,-1.49,13870304.0,0.18,228053488.0,2.89,京能热力
323,冶钢原料,-2.32,-242458384.0,-8.23,-103717056.0,-3.52,-138741328.0,-4.71,-32540912.0,-1.1,274999312.0,9.33,方大炭素
324,油品石化贸易,-2.04,-243280864.0,-9.61,-169184656.0,-6.68,-74096208.0,-2.93,43763440.0,1.73,199517408.0,7.88,润贝航科
325,综合电力设备商,-1.53,-245200160.0,-9.07,-106967152.0,-3.96,-138233008.0,-5.11,46526688.0,1.72,198673456.0,7.35,上海电气
326,农药,-2.67,-245396889.0,-4.69,-155093801.0,-2.97,-90303088.0,-1.73,148499520.0,2.84,85897984.0,1.64,苏利股份
327,饮料乳品,-1.36,-245738304.0,-5.1,-4251056.0,-0.09,-241487248.0,-5.01,-104220608.0,-2.16,344035104.0,7.13,欢乐家
328,地面兵装Ⅱ,-1.21,-250148832.0,-4.16,72896048.0,1.21,-323044880.0,-5.37,-217667840.0,-3.62,467816672.0,7.78,光电股份
329,地面兵装Ⅲ,-1.21,-250148832.0,-4.16,72896048.0,1.21,-323044880.0,-5.37,-217667840.0,-3.62,467816672.0,7.78,光电股份
330,复合肥,-3.75,-257941557.0,-9.38,-75724645.0,-2.75,-182216912.0,-6.63,-387984.0,-0.01,232188128.0,8.44,ST司特
331,仪器仪表,-1.46,-260423392.0,-3.48,-145919168.0,-1.95,-114504224.0,-1.53,129566176.0,1.73,105679568.0,1.41,精测电子
332,通信服务,-1.32,-262323776.0,-1.46,-278924896.0,-1.55,16601120.0,0.09,111095296.0,0.62,136333056.0,0.76,数据港
333,食品及饲料添加剂,-1.67,-262689808.0,-6.29,-143822320.0,-3.45,-118867488.0,-2.85,-5802336.0,-0.14,267365104.0,6.41,亚香股份
334,园林工程,-2.67,-264135704.0,-8.16,-140320104.0,-4.33,-123815600.0,-3.82,56010736.0,1.73,208124960.0,6.43,诚邦股份
335,家居用品,-1.36,-265080620.0,-4.46,-174727580.0,-2.94,-90353040.0,-1.52,84847504.0,1.43,181749232.0,3.06,皮阿诺
336,服装家纺,-1.01,-271110720.0,-4.74,-51014768.0,-0.89,-220095952.0,-3.85,-118711568.0,-2.07,388951088.0,6.8,棒杰股份
