序号,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比,今日主力净流入最大股
337,装修装饰Ⅲ,-1.24,-271501598.0,-9.47,-125700254.0,-4.39,-145801344.0,-5.09,116173984.0,4.05,155327600.0,5.42,维业股份
338,装修装饰Ⅱ,-1.24,-271501598.0,-9.47,-125700254.0,-4.39,-145801344.0,-5.09,116173984.0,4.05,155327600.0,5.42,维业股份
339,焦煤,-5.09,-292067904.0,-5.8,-226671024.0,-4.5,-65396880.0,-1.3,142399792.0,2.83,149668112.0,2.97,辽宁能源
340,配电设备,-1.87,-294538736.0,-4.98,-140205056.0,-2.37,-154333680.0,-2.61,37978832.0,0.64,256105280.0,4.33,洛凯股份
341,光伏辅材,-3.52,-302494896.0,-5.7,-154386864.0,-2.91,-148108032.0,-2.79,68070224.0,1.28,229034496.0,4.32,安彩高科
342,其他通用设备,-0.79,-314910320.0,-2.09,-237340928.0,-1.57,-77569392.0,-0.51,244807424.0,1.62,69574912.0,0.46,昊志机电
343,食品饮料,-0.96,-316000256.0,-0.94,-250252032.0,-0.74,-65748224.0,-0.19,-153671936.0,-0.46,459267584.0,1.36,贵州茅台
344,通信线缆及配套,0.36,-321379072.0,-0.95,-573573120.0,-1.7,252194048.0,0.75,293608448.0,0.87,13086208.0,0.04,中天科技
345,油田服务,-2.76,-326549115.0,-10.65,-169574315.0,-5.53,-156974800.0,-5.12,-21269072.0,-0.69,294651472.0,9.61,仁智股份
346,电机Ⅱ,-1.61,-328152048.0,-5.51,-126632704.0,-2.13,-201519344.0,-3.38,74469200.0,1.25,254424864.0,4.27,神力股份
347,电机Ⅲ,-1.61,-328152048.0,-5.51,-126632704.0,-2.13,-201519344.0,-3.38,74469200.0,1.25,254424864.0,4.27,神力股份
348,医院,-1.6,-341288090.0,-9.28,-153324106.0,-4.17,-187963984.0,-5.11,37344688.0,1.01,303943392.0,8.26,光正眼科
349,其他化学原料,-3.04,-344106336.0,-7.16,-171189408.0,-3.56,-172916928.0,-3.6,-100588480.0,-2.09,429858320.0,8.95,恒光股份
350,种子,-4.31,-349162629.0,-10.25,-151941125.0,-4.46,-197221504.0,-5.79,53239392.0,1.56,283511408.0,8.32,万向德农
351,电动乘用车,-1.78,-349194992.0,-3.79,-204665856.0,-2.22,-144529136.0,-1.57,109607520.0,1.19,239587472.0,2.6,比亚迪
352,钢铁,-1.59,-365892336.0,-3.22,-95469440.0,-0.84,-270422896.0,-2.38,-100209888.0,-0.88,466102208.0,4.11,杭钢股份
353,氟化工,-2.21,-370988704.0,-9.81,-161548240.0,-4.27,-209440464.0,-5.54,5671328.0,0.15,365317392.0,9.66,金石资源
354,无机盐,-3.21,-372407662.0,-13.16,-244452318.0,-8.64,-127955344.0,-4.52,67545360.0,2.39,304862304.0,10.77,三祥新材
355,股份制银行Ⅲ,-0.21,-376630864.0,-3.55,-306499440.0,-2.89,-70131424.0,-0.66,39752384.0,0.37,336878464.0,3.18,浦发银行
356,工程咨询服务Ⅱ,-1.12,-379011136.0,-6.17,-120988496.0,-1.97,-258022640.0,-4.2,91397024.0,1.49,284686960.0,4.64,矩阵股份
357,工程咨询服务Ⅲ,-1.12,-379011136.0,-6.17,-120988496.0,-1.97,-258022640.0,-4.2,91397024.0,1.49,284686960.0,4.64,矩阵股份
358,氮肥,-5.84,-382788288.0,-9.4,-175189808.0,-4.3,-207598480.0,-5.1,-34470128.0,-0.85,417258400.0,10.25,赤天化
359,底盘与发动机系统,-0.71,-395531616.0,-1.64,-67343968.0,-0.28,-328187648.0,-1.36,117007360.0,0.48,293377536.0,1.21,襄阳轴承
360,油气及炼化工程,-3.82,-403396416.0,-10.15,-68116160.0,-1.71,-335280256.0,-8.44,-146925200.0,-3.7,550321600.0,13.85,惠博普
361,焦炭Ⅲ,-6.63,-405458864.0,-12.63,-170377952.0,-5.31,-235080912.0,-7.32,8791072.0,0.27,396667792.0,12.36,云煤能源
362,焦炭Ⅱ,-6.63,-405458864.0,-12.63,-170377952.0,-5.31,-235080912.0,-7.32,8791072.0,0.27,396667792.0,12.36,云煤能源
363,电能综合服务,-3.58,-406054384.0,-4.7,-211647616.0,-2.45,-194406768.0,-2.25,-123640784.0,-1.43,529695168.0,6.14,广西能源
364,被动元件,-2.3,-407706224.0,-5.32,-263197808.0,-3.44,-144508416.0,-1.89,71334336.0,0.93,343352448.0,4.48,高华科技
365,家电零部件Ⅱ,-0.28,-415913872.0,-3.66,-161593600.0,-1.42,-254320272.0,-2.24,179375648.0,1.58,237069104.0,2.09,春光科技
366,家电零部件Ⅲ,-0.28,-415913872.0,-3.66,-161593600.0,-1.42,-254320272.0,-2.24,179375648.0,1.58,237069104.0,2.09,春光科技
367,其他自动化设备,-1.64,-433082928.0,-6.32,-386784832.0,-5.64,-46298096.0,-0.68,183841344.0,2.68,249587440.0,3.64,田中精机
368,LED,-2.46,-440027136.0,-3.71,-187402688.0,-1.58,-252624448.0,-2.13,37099664.0,0.31,402927424.0,3.4,乾照光电
369,钾肥,-4.14,-443706672.0,-5.69,-344262112.0,-4.41,-99444560.0,-1.27,120127440.0,1.54,323579232.0,4.15,藏格矿业
370,汽车,-0.37,-446773504.0,-0.6,-26714368.0,-0.04,-420059136.0,-0.56,-69143808.0,-0.09,552994560.0,0.74,襄阳轴承
371,家用电器,-0.68,-458140176.0,-1.66,-178408464.0,-0.65,-279731712.0,-1.01,296484864.0,1.08,141988352.0,0.51,美的集团
372,玻纤制造,-2.58,-466364400.0,-7.02,-229929120.0,-3.46,-236435280.0,-3.56,149173792.0,2.24,317190608.0,4.77,九鼎新材
373,专用设备,-1.0,-482600976.0,-1.12,-289445392.0,-0.67,-193155584.0,-0.45,28962560.0,0.07,411067904.0,0.96,N泰金
374,铜,-0.76,-485614384.0,-2.14,-153536816.0,-0.68,-332077568.0,-1.46,79348480.0,0.35,406265856.0,1.79,盛屯矿业
375,纺织服饰,-0.96,-487014816.0,-4.68,-99636224.0,-0.96,-387378592.0,-3.72,-180961376.0,-1.74,667052272.0,6.4,聚杰微纤
376,环境治理,-2.15,-488677024.0,-2.93,-321572272.0,-1.93,-167104752.0,-1.0,444035072.0,2.67,43731200.0,0.26,高能环境
377,生猪养殖,-1.8,-493093024.0,-9.0,-323137184.0,-5.9,-169955840.0,-3.1,268153488.0,4.9,224939536.0,4.11,神农集团
378,锂电专用设备,-3.25,-494335920.0,-9.33,-260660336.0,-4.92,-233675584.0,-4.41,142932080.0,2.7,297240560.0,5.61,骄成超声
379,玻璃玻纤,-2.28,-512962752.0,-6.69,-256808896.0,-3.35,-256153856.0,-3.34,181371440.0,2.36,331591312.0,4.32,九鼎新材
380,专业工程,-1.62,-520174912.0,-2.98,-282619024.0,-1.62,-237555888.0,-1.36,155034624.0,0.89,357849856.0,2.05,北方国际
381,中药Ⅲ,-0.86,-530721760.0,-6.38,-281845312.0,-3.39,-248876448.0,-2.99,-38593328.0,-0.46,569305520.0,6.85,ST葫芦娃
382,中药Ⅱ,-0.86,-530721760.0,-6.38,-281845312.0,-3.39,-248876448.0,-2.99,-38593328.0,-0.46,569305520.0,6.85,ST葫芦娃
383,半导体材料,-3.55,-531430144.0,-5.77,-300743216.0,-3.27,-230686928.0,-2.51,150126704.0,1.63,358628096.0,3.9,天岳先进
384,其他专业工程,-2.17,-531434880.0,-4.08,-196468336.0,-1.51,-334966544.0,-2.57,122876960.0,0.94,402728688.0,3.09,中化岩土
385,养殖业,-2.26,-537764944.0,-8.38,-341744752.0,-5.33,-196020192.0,-3.05,289026352.0,4.5,248738592.0,3.88,仙坛股份
386,医疗器械,-0.94,-547488416.0,-2.5,-485018016.0,-2.21,-62470400.0,-0.29,308482304.0,1.41,202213376.0,0.92,英科医疗
387,游戏Ⅱ,-1.32,-559012112.0,-7.04,-235891536.0,-2.97,-323120576.0,-4.07,45609152.0,0.57,513402960.0,6.47,世纪华通
388,游戏Ⅲ,-1.32,-559012112.0,-7.04,-235891536.0,-2.97,-323120576.0,-4.07,45609152.0,0.57,513402960.0,6.47,世纪华通
389,其他化学制品,-2.21,-564102736.0,-4.99,-252420384.0,-2.23,-311682352.0,-2.76,49277632.0,0.44,491866400.0,4.35,百川股份
390,住宅开发,-1.04,-578039392.0,-6.08,-315477664.0,-3.32,-262561728.0,-2.76,165284304.0,1.74,412755072.0,4.34,三湘印象
391,电网自动化设备,-1.66,-582778784.0,-5.92,-275572352.0,-2.8,-307206432.0,-3.12,4307200.0,0.04,553157648.0,5.62,国电南自
392,集成电路封测,-2.85,-589544544.0,-7.93,-331856560.0,-4.46,-257687984.0,-3.47,46697264.0,0.63,540372816.0,7.27,利扬芯片
393,通信终端及配件,-2.46,-590281760.0,-6.45,-265954304.0,-2.91,-324327456.0,-3.55,281930384.0,3.08,297887696.0,3.26,移远通信
394,铝,-1.96,-619091552.0,-2.34,-165682784.0,-0.63,-453408768.0,-1.71,61232128.0,0.23,557859072.0,2.11,宜安科技
395,一般零售,-1.22,-621612576.0,-10.06,-288705904.0,-4.67,-332906672.0,-5.39,126907056.0,2.05,494705520.0,8.0,广百股份
396,环保,-2.09,-636641232.0,-2.96,-395285712.0,-1.84,-241355520.0,-1.12,549433856.0,2.56,85754368.0,0.4,高能环境
397,磷肥及磷化工,-3.4,-646091712.0,-9.44,-261986736.0,-3.83,-384104976.0,-5.61,4632896.0,0.07,641458832.0,9.38,宏达股份
398,体外诊断,-1.24,-663183184.0,-8.81,-609636048.0,-8.1,-53547136.0,-0.71,207542768.0,2.76,455076992.0,6.05,热景生物
399,航空装备Ⅱ,-1.04,-667033056.0,-3.36,-604494560.0,-3.05,-62538496.0,-0.32,-72658944.0,-0.37,740080384.0,3.73,航发动力
400,航空装备Ⅲ,-1.04,-667033056.0,-3.36,-604494560.0,-3.05,-62538496.0,-0.32,-72658944.0,-0.37,740080384.0,3.73,航发动力
401,建筑材料,-1.45,-671509552.0,-4.77,-336473008.0,-2.39,-335036544.0,-2.38,172142848.0,1.22,494122496.0,3.51,海螺水泥
402,种植业,-4.2,-680381104.0,-9.14,-322882080.0,-4.34,-357499024.0,-4.8,169465104.0,2.28,498504192.0,6.69,苏垦农发
403,铅锌,-2.39,-685584656.0,-10.44,-298131296.0,-4.54,-387453360.0,-5.9,20854976.0,0.32,661825136.0,10.08,华钰矿业
404,炼油化工,-1.58,-688183568.0,-11.77,-526049696.0,-9.0,-162133872.0,-2.77,116089168.0,1.99,572094384.0,9.78,东方盛虹
405,房地产,-1.09,-692486752.0,-5.11,-485241152.0,-3.58,-207245600.0,-1.53,238500432.0,1.76,453986304.0,3.35,三湘印象
406,房地产开发,-1.03,-695955632.0,-5.78,-481940864.0,-4.0,-214014768.0,-1.78,233145472.0,1.93,462810064.0,3.84,三湘印象
407,油气开采Ⅲ,-4.4,-707173712.0,-10.52,-392757520.0,-5.84,-314416192.0,-4.68,-15463184.0,-0.23,722636880.0,10.75,*ST新潮
408,油气开采Ⅱ,-4.4,-707173712.0,-10.52,-392757520.0,-5.84,-314416192.0,-4.68,-15463184.0,-0.23,722636880.0,10.75,*ST新潮
409,国防军工,-0.96,-709885440.0,-0.88,-519131648.0,-0.64,-190753792.0,-0.24,-352226304.0,-0.44,1057865984.0,1.31,中国卫星
410,基建市政工程,0.41,-717102032.0,-5.64,-166649328.0,-1.31,-550452704.0,-4.33,40400880.0,0.32,677694048.0,5.33,中铁工业
411,商贸零售,-1.08,-720716784.0,-4.81,-359494160.0,-2.4,-361222624.0,-2.41,190232064.0,1.27,530484736.0,3.54,南京商旅
412,军工电子Ⅱ,-1.14,-724883008.0,-2.22,-378113088.0,-1.16,-346769920.0,-1.06,28670464.0,0.09,691578368.0,2.12,上海瀚讯
413,军工电子Ⅲ,-1.14,-724883008.0,-2.22,-378113088.0,-1.16,-346769920.0,-1.06,28670464.0,0.09,691578368.0,2.12,上海瀚讯
414,油服工程,-3.22,-729945520.0,-10.37,-237690480.0,-3.38,-492255040.0,-6.99,-168194272.0,-2.39,844973088.0,12.0,仁智股份
415,小金属,-1.89,-740742928.0,-2.21,-658906384.0,-1.97,-81836544.0,-0.24,580248064.0,1.73,159385344.0,0.48,N盛龙
416,汽车零部件,-0.76,-741878464.0,-1.48,-423881664.0,-0.85,-317996800.0,-0.64,171662336.0,0.34,587082496.0,1.17,襄阳轴承
417,燃气Ⅱ,-3.0,-744753408.0,-9.51,-372404048.0,-4.76,-372349360.0,-4.76,-6293264.0,-0.08,721858640.0,9.22,胜通能源
418,燃气Ⅲ,-3.0,-744753408.0,-9.51,-372404048.0,-4.76,-372349360.0,-4.76,-6293264.0,-0.08,721858640.0,9.22,胜通能源
419,集成电路制造,-3.25,-781177792.0,-10.42,-387883792.0,-5.17,-393294000.0,-5.25,143942992.0,1.92,637234816.0,8.5,华润微
420,化学制剂,-0.7,-781946848.0,-2.34,-500896736.0,-1.5,-281050112.0,-0.84,-322203392.0,-0.96,1094135296.0,3.27,恒瑞医药
421,其他专用设备,-1.28,-800364704.0,-3.62,-578649504.0,-2.62,-221715200.0,-1.0,457118720.0,2.07,322485760.0,1.46,N泰金
422,机械设备,-0.73,-801912576.0,-0.55,-488676608.0,-0.33,-313235968.0,-0.21,421451008.0,0.29,335164928.0,0.23,巨力索具
423,光学元件,-2.51,-821744800.0,-8.61,-459072128.0,-4.81,-362672672.0,-3.8,590844272.0,6.19,217978496.0,2.28,光智科技
424,原料药,-0.49,-852725216.0,-7.05,-442127664.0,-3.65,-410597552.0,-3.39,63598112.0,0.53,787606080.0,6.51,奥锐特
425,光伏主材,-2.44,-863781792.0,-22.31,-533111888.0,-13.77,-330669904.0,-8.54,112644592.0,2.91,751137200.0,19.4,弘元绿能
426,钨,-2.74,-893655376.0,-11.27,-506475952.0,-6.38,-387179424.0,-4.88,29585488.0,0.37,864069888.0,10.89,翔鹭钨业
427,光伏加工设备,-2.8,-905928720.0,-10.38,-501940256.0,-5.75,-403988464.0,-4.63,70120064.0,0.8,836558848.0,9.59,高测股份
428,垂直应用软件,-1.72,-934200768.0,-3.65,-560456896.0,-2.19,-373743872.0,-1.46,172399872.0,0.67,741890304.0,2.9,品茗科技
429,风电零部件,-3.79,-946848208.0,-6.54,-585204208.0,-4.04,-361644000.0,-2.5,-26925568.0,-0.19,973773824.0,6.73,新强联
430,激光设备,-3.5,-960930960.0,-8.8,-708098016.0,-6.49,-252832944.0,-2.32,113886160.0,1.04,847044800.0,7.76,杰普特
431,面板,-2.45,-971051728.0,-8.12,-660363376.0,-5.52,-310688352.0,-2.6,313152816.0,2.62,655991616.0,5.49,凯盛科技
432,其他小金属,-2.37,-971152496.0,-6.17,-688505200.0,-4.38,-282647296.0,-1.8,118895360.0,0.76,851147760.0,5.41,贵研铂业
433,软件开发,-1.59,-980110752.0,-2.85,-575059872.0,-1.67,-405050880.0,-1.18,217141248.0,0.63,743059200.0,2.16,每日互动
434,基础建设,-0.83,-981237712.0,-6.15,-306969424.0,-1.92,-674268288.0,-4.23,96411648.0,0.6,885819136.0,5.55,中铁工业
435,其他电源设备Ⅲ,-2.67,-1007984992.0,-8.8,-503011488.0,-4.39,-504973504.0,-4.41,517992880.0,4.52,490086688.0,4.28,中远通
436,动力煤,-3.98,-1010405488.0,-10.19,-629672400.0,-6.35,-380733088.0,-3.84,130213104.0,1.31,880192384.0,8.88,昊华能源
437,半导体设备,-3.48,-1020114640.0,-6.25,-638618560.0,-3.91,-381496080.0,-2.34,730343168.0,4.48,289771408.0,1.78,华峰测控
438,航运,-2.26,-1058656016.0,-11.09,-634390352.0,-6.65,-424265664.0,-4.45,232739616.0,2.44,775872080.0,8.13,中谷物流
439,其他计算机设备,-1.16,-1060004128.0,-7.22,-452486336.0,-3.08,-607517792.0,-4.14,94191104.0,0.64,957419520.0,6.52,苏州科达
440,炼化及贸易,-1.87,-1086063120.0,-9.97,-807551408.0,-7.42,-278511712.0,-2.56,207353328.0,1.9,878709792.0,8.07,齐翔腾达
441,农林牧渔,-2.0,-1108611216.0,-4.07,-364246928.0,-1.34,-744364288.0,-2.73,182066944.0,0.67,901988608.0,3.31,平潭发展
442,煤化工,-3.95,-1118660752.0,-12.75,-806711008.0,-9.2,-311949744.0,-3.56,110064640.0,1.25,1008596112.0,11.5,华昌化工
443,电子化学品Ⅲ,-3.39,-1138546560.0,-7.54,-859443920.0,-5.69,-279102640.0,-1.85,534621440.0,3.54,601576528.0,3.98,国瓷材料
444,电子化学品Ⅱ,-3.39,-1138546560.0,-7.54,-859443920.0,-5.69,-279102640.0,-1.85,534621440.0,3.54,601576528.0,3.98,国瓷材料
445,航运港口,-1.39,-1191790992.0,-9.63,-691322144.0,-5.59,-500468848.0,-4.04,256545472.0,2.07,885201200.0,7.15,中谷物流
446,分立器件,-4.08,-1195799824.0,-8.42,-1304003600.0,-9.19,108203776.0,0.76,959993232.0,6.76,235806800.0,1.66,扬杰科技
447,计算机设备,-1.22,-1217151200.0,-6.68,-558398528.0,-3.06,-658752672.0,-3.61,251208704.0,1.38,941918464.0,5.17,苏州科达
448,火力发电,-2.36,-1226515696.0,-4.23,-666337776.0,-2.3,-560177920.0,-1.93,-146425856.0,-0.51,1372941824.0,4.74,深南电A
449,其他电源设备Ⅱ,-2.48,-1281121136.0,-8.75,-616545568.0,-4.21,-664575568.0,-4.54,564623872.0,3.86,716592016.0,4.89,中远通
450,煤炭开采,-4.41,-1302473392.0,-8.71,-856343424.0,-5.73,-446129968.0,-2.98,272612864.0,1.82,1029860400.0,6.89,辽宁能源
451,自动化设备,-1.47,-1366353872.0,-5.54,-1065956816.0,-4.32,-300397056.0,-1.22,429035776.0,1.74,912875776.0,3.7,杰普特
452,非银金融,-1.03,-1374909440.0,-3.69,-832910336.0,-2.23,-541999104.0,-1.45,295682304.0,0.79,1079226624.0,2.9,中国平安
453,风力发电,-3.86,-1401055872.0,-10.51,-851991904.0,-6.39,-549063968.0,-4.12,125765552.0,0.94,1275290304.0,9.57,中闽能源
454,交通运输,-0.86,-1404923904.0,-5.06,-834864128.0,-3.01,-570059776.0,-2.05,245463296.0,0.88,1107006976.0,3.99,顺丰控股
455,化学制品,-1.89,-1535414464.0,-5.05,-853449152.0,-2.81,-681965312.0,-2.24,166355968.0,0.55,1344772096.0,4.43,雪峰科技
456,其他电子Ⅱ,-3.51,-1555649296.0,-11.0,-808739600.0,-5.72,-746909696.0,-5.28,260459552.0,1.84,1295189728.0,9.15,久之洋
457,其他电子Ⅲ,-3.51,-1555649296.0,-11.0,-808739600.0,-5.72,-746909696.0,-5.28,260459552.0,1.84,1295189728.0,9.15,久之洋
458,风电整机,-2.98,-1564706672.0,-17.42,-1244192032.0,-13.85,-320514640.0,-3.57,236674800.0,2.63,1328031888.0,14.78,运达股份
459,锂,-3.93,-1598932544.0,-7.45,-792615744.0,-3.69,-806316800.0,-3.76,18756864.0,0.09,1580175616.0,7.36,中矿资源
460,证券Ⅱ,-0.88,-1615298560.0,-7.77,-922930432.0,-4.44,-692368128.0,-3.33,552973056.0,2.66,1062325504.0,5.11,国泰海通
461,证券Ⅲ,-0.88,-1615298560.0,-7.77,-922930432.0,-4.44,-692368128.0,-3.33,552973056.0,2.66,1062325504.0,5.11,国泰海通
462,化学制药,-0.64,-1634671920.0,-3.59,-943024432.0,-2.07,-691647488.0,-1.52,-258605312.0,-0.57,1881741312.0,4.13,恒瑞医药
463,煤炭,-4.88,-1707932256.0,-9.41,-1026721360.0,-5.65,-681210896.0,-3.75,281403904.0,1.55,1426528256.0,7.86,辽宁能源
464,工业金属,-1.7,-1790290688.0,-3.21,-617350912.0,-1.11,-1172939776.0,-2.1,161435904.0,0.29,1625950464.0,2.92,盛屯矿业
465,能源金属,-3.41,-1858300768.0,-7.55,-925635168.0,-3.76,-932665600.0,-3.79,79253504.0,0.32,1779047424.0,7.23,中矿资源
466,印制电路板,-2.61,-1886441728.0,-4.92,-945694464.0,-2.46,-940747264.0,-2.45,295920640.0,0.77,1574555392.0,4.1,东山精密
467,农化制品,-3.34,-1975925344.0,-7.4,-1012257120.0,-3.79,-963668224.0,-3.61,238401792.0,0.89,1700382464.0,6.37,宏达股份
468,逆变器,-3.68,-2049572256.0,-10.54,-1460710304.0,-7.51,-588861952.0,-3.03,410811648.0,2.11,1638760544.0,8.43,德业股份
469,光伏电池组件,-2.85,-2097133472.0,-9.09,-971076000.0,-4.21,-1126057472.0,-4.88,342612480.0,1.49,1746830592.0,7.57,钧达股份
470,IT服务Ⅱ,-1.44,-2172936544.0,-4.81,-944924512.0,-2.09,-1228012032.0,-2.72,382480384.0,0.85,1786549248.0,3.95,海量数据
471,IT服务Ⅲ,-1.44,-2172936544.0,-4.81,-944924512.0,-2.09,-1228012032.0,-2.72,382480384.0,0.85,1786549248.0,3.95,海量数据
472,建筑装饰,-1.12,-2215467264.0,-4.87,-877684736.0,-1.93,-1337782528.0,-2.94,415388672.0,0.91,1790853888.0,3.94,中铁工业
473,光学光电子,-2.47,-2232823776.0,-6.69,-1306838240.0,-3.92,-925985536.0,-2.78,941096704.0,2.82,1276897536.0,3.83,乾照光电
474,医药生物,-0.59,-2265338624.0,-1.9,-1068388864.0,-0.9,-1196949760.0,-1.0,-690510336.0,-0.58,2884547840.0,2.42,药明康德
475,化学原料,-3.08,-2283395648.0,-10.26,-1479654720.0,-6.65,-803740928.0,-3.61,32793600.0,0.15,2235765248.0,10.04,航锦科技
476,元件,-2.52,-2294148096.0,-4.98,-1208892160.0,-2.63,-1085255936.0,-2.36,367255040.0,0.8,1917907712.0,4.17,东山精密
477,输变电设备,-2.45,-2321236496.0,-12.86,-1345203248.0,-7.45,-976033248.0,-5.41,-12280320.0,-0.07,2318629120.0,12.85,宝光股份
478,风电设备,-3.66,-2511554832.0,-10.71,-1829396240.0,-7.8,-682158592.0,-2.91,209748992.0,0.89,2301805824.0,9.81,新强联
479,石油石化,-2.5,-2523182400.0,-10.24,-1437999424.0,-5.83,-1085182976.0,-4.4,23695872.0,0.1,2446319872.0,9.92,齐翔腾达
480,电网设备,-1.57,-3003280384.0,-5.21,-1532734464.0,-2.66,-1470545920.0,-2.55,284035328.0,0.49,2652794880.0,4.6,新能泰山
481,有色金属,-1.5,-3555551232.0,-2.42,-1838600192.0,-1.25,-1716951040.0,-1.17,1293664256.0,0.88,2251493120.0,1.53,N盛龙
482,锂电池,-3.45,-3675683328.0,-8.76,-2328816128.0,-5.55,-1346867200.0,-3.21,718219520.0,1.71,2912396544.0,6.94,鹏辉能源
483,电力,-2.46,-3691893504.0,-4.42,-1314020096.0,-1.57,-2377873408.0,-2.85,-812857600.0,-0.97,4504751360.0,5.4,拓日新能
484,计算机,-1.44,-4370198272.0,-4.47,-2078382848.0,-2.12,-2291815424.0,-2.34,850830336.0,0.87,3471526912.0,3.55,每日互动
485,公用事业,-2.58,-4436646912.0,-4.86,-1686424320.0,-1.85,-2750222592.0,-3.01,-819150848.0,-0.9,5226609920.0,5.73,拓日新能
486,电池化学品,-4.15,-5005503104.0,-12.52,-2746939008.0,-6.87,-2258564096.0,-5.65,925426432.0,2.32,4002442496.0,10.01,ST帕瓦
487,基础化工,-2.21,-5946672384.0,-5.49,-2868984576.0,-2.65,-3077687808.0,-2.84,204698624.0,0.19,5535651584.0,5.11,神剑股份
488,光伏设备,-3.15,-6422488576.0,-10.26,-3740915968.0,-5.97,-2681572608.0,-4.28,1030349312.0,1.65,5379809024.0,8.59,德业股份
489,通信网络设备及器件,-2.87,-6779920384.0,-8.79,-5128084480.0,-6.65,-1651835904.0,-2.14,4493769216.0,5.83,2121078528.0,2.75,烽火通信
490,数字芯片设计,-2.51,-7145093376.0,-9.67,-5167813120.0,-6.99,-1977280256.0,-2.68,4044736768.0,5.47,3100356352.0,4.19,思特威-W
491,通信设备,-1.95,-7698407936.0,-6.29,-5922160896.0,-4.84,-1776247040.0,-1.45,5059606016.0,4.14,2449287424.0,2.0,中天科技
492,通信,-1.76,-7960731648.0,-5.67,-6201085696.0,-4.42,-1759645952.0,-1.25,5170701312.0,3.68,2585620736.0,1.84,中天科技
493,电池,-3.51,-9049206016.0,-9.9,-5136125440.0,-5.62,-3913080576.0,-4.28,1689272320.0,1.85,7177539328.0,7.85,圣阳股份
494,半导体,-3.01,-11284565248.0,-8.08,-8267979264.0,-5.92,-3016585984.0,-2.16,6136488704.0,4.39,5122926592.0,3.67,臻镭科技
495,电子,-2.56,-16966620160.0,-5.57,-10961335296.0,-3.6,-6005284864.0,-1.97,7557935104.0,2.48,9345747456.0,3.07,工业富联
496,电力设备,-2.58,-22595803648.0,-8.84,-12982350592.0,-5.08,-9613453056.0,-3.76,3852496896.0,1.51,18482965504.0,7.23,圣阳股份
