序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000631,顺发恒能,10.051546096801758,4.27,491622256,9821000362.949999,9821000341.599998,5.006242275238037,71539255,092500,092500,0,1/1,1,电力
2,600066,宇通客车,10.0,35.86,1199265616,79391860536.78,79391860285.76,1.5107066631317139,72291070,093002,093253,1,1/1,1,商用车
3,600894,广日股份,9.97706413269043,9.59,144711983,8085755227.55,8167595549.12,1.7912741899490356,48324441,093002,093420,3,1/1,1,专用设备
4,002578,闽发铝业,10.093896865844727,4.69,372904768,4038852411.09,4402175525.440001,9.243043899536133,58267950,093003,093003,0,2/2,2,工业金属
5,600488,津药药业,10.084033966064453,5.24,466914880,5721486203.2,5721486245.12,8.222428321838379,54451187,093042,093703,2,3/3,3,化学制药
6,603039,泛微网络,10.0,43.45,274447408,11139100744.75,11139100744.75,2.4783668518066406,59583462,093051,093112,1,1/1,1,软件开发
7,002361,神剑股份,10.0,16.5,3149143536,13350529236.0,15692077104.0,23.703197479248047,217816500,093057,142139,4,4/4,4,塑料
8,002454,松芝股份,10.0,9.24,131310485,5792982102.6,5808093984.0,2.2934348583221436,65169258,093057,093057,0,1/1,1,汽车零部
9,000008,神州高铁,10.1010103225708,3.27,524434240,8882291033.04,8882555013.6,5.955018520355225,212429415,093118,093118,0,2/2,2,轨交设备
10,002634,棒杰股份,9.963099479675293,8.94,312215584,3991839969.72,4106611457.2799997,7.904372215270996,16779700,093136,130212,1,2/2,2,服装家纺
11,002542,中化岩土,10.067113876342773,3.28,120705072,5768769811.5199995,5924062894.08,2.1127877235412598,71945934,093212,093212,0,1/1,1,专业工程
12,300834,星辉环材,19.984107971191406,30.2,341444592,5811288725.8,5850113060.599999,5.921833038330078,143530754,093233,093233,0,1/1,1,塑料
13,002565,顺灏股份,10.025873184204102,17.01,1967978368,18029646113.22,18030411665.280003,11.064379692077637,270144876,093409,093409,0,1/1,1,包装印刷
14,000993,闽东电力,9.97977066040039,16.31,608092064,7172282899.32,7469188247.36,8.653043746948242,170002750,093412,093412,0,1/1,1,电力
15,002821,凯莱英,10.0,110.77,1872865232,35118948150.659996,39974121091.52,5.363607883453369,42748358,093412,131639,3,1/1,1,医疗服务
16,000927,中国铁物,9.86842155456543,3.34,605001024,20208170940.54,20208181237.76,3.0674612522125244,107150616,093421,093421,0,5/3,1,轨交设备
17,601908,京运通,10.10988998413086,5.01,964440256,12097160333.609999,12097160348.64,8.151227951049805,104920422,093521,093521,0,4/2,1,电力
18,000592,平潭发展,9.9827880859375,12.78,5569520896,24474881498.219997,24688159850.879997,23.249568939208984,187515764,093648,132657,6,5/3,2,林业Ⅱ
19,002800,天顺股份,9.985597610473633,22.91,238065680,3387080060.06,3488117764.97,7.174747467041016,33661663,093818,112318,1,1/1,1,物流
20,002218,拓日新能,10.0,6.93,2119477376,9649319865.57,9792232369.92,22.45372200012207,81078893,093936,102921,4,1/1,1,电力
21,000863,三湘印象,10.019268035888672,5.71,212506297,6644244036.78,6741794533.28,3.2577943801879883,54279260,094000,095806,1,1/1,1,房地产开
22,002342,巨力索具,10.007638931274414,14.4,2490062272,13747536000.0,13824000000.0,18.451574325561523,181532995,094003,095130,1,1/1,1,通用设备
23,605299,舒华体育,10.005157470703125,21.33,863127488,8728801735.59,8728801842.24,10.17412281036377,72481302,094047,094647,2,12/6,1,文娱用品
24,002995,天地在线,9.991079330444336,24.66,319203104,2772208349.28,4376027476.8,11.848085403442383,77560632,094115,094115,0,3/2,1,广告营销
25,000720,新能泰山,10.080645561218262,5.46,982547648,6860662377.66,6860662361.28,15.417572021484375,62507805,094703,094703,0,6/5,1,电网设备
26,002560,通达股份,9.989806175231934,10.79,595734848,4887179461.58,5672719235.04,12.49411392211914,121562157,095421,095421,0,1/1,1,电网设备
27,301079,邵阳液压,20.0,44.76,778569392,3111947907.24,4875806793.84,26.236629486083984,81989667,095427,095427,0,1/1,1,工程机械
28,600158,中体产业,10.0,11.99,1497795520,11504561673.33,11504561733.28,13.282675743103027,60885339,095839,112318,3,1/1,1,体育Ⅱ
29,001239,永达股份,9.986129760742188,15.86,114433744,1808040000.0,3806400000.0,6.52692985534668,62799573,100118,100118,0,1/1,1,工程机械
30,603826,坤彩科技,10.019880294799805,27.67,696678496,18129384000.0,18129384000.0,3.9184834957122803,32755746,100932,134044,8,1/1,1,非金属材
31,301048,金鹰重工,19.98166847229004,13.09,612448144,6981334206.0,6981334310.72,9.212003707885742,31972325,100942,100942,0,1/1,1,轨交设备
32,600502,安徽建工,9.9609375,5.63,948716160,9664086070.94,9664086059.68,9.955951690673828,82586807,100956,100956,0,2/2,2,基础建设
33,600528,中铁工业,9.952038764953613,9.17,1327340768,20371628061.96,20371628025.28,6.704940319061279,111057870,101209,101424,1,1/1,1,基础建设
34,600495,晋西车轴,10.044642448425293,4.93,347120240,5956381067.98,5956381038.4,5.946409702301025,62534939,101552,104029,2,1/1,1,轨交设备
35,603657,春光科技,10.0,27.94,142375599,3777209997.0,3777209997.0,3.8806509971618652,27423110,104452,105310,1,1/1,1,家电零部
36,002788,鹭燕医药,10.0,16.17,1632465184,6173605762.170001,6282315621.120001,27.317588806152344,57096270,104824,144006,1,1/1,1,医药商业
37,605162,新中港,10.047392845153809,11.61,363563968,4650768653.219999,4650768722.88,8.143401145935059,96870600,104933,104933,0,1/1,1,电力
38,300992,泰福泵业,20.0,41.88,588926352,3245476612.0800004,3992804272.0800004,20.174928665161133,64095246,111412,111412,0,1/1,1,通用设备
39,000037,深南电A,9.966216087341309,13.02,1019335312,4412584113.0,7847968947.84,24.37428092956543,84228984,130945,130945,0,4/2,1,电力
40,301008,宏昌科技,20.005674362182617,42.29,1158767696,4899010365.86,5538435165.86,24.920867919921875,123224009,131221,131221,0,2/2,2,家电零部
41,600250,南京商旅,10.023492813110352,14.05,823592416,4394719226.2,4394719282.400001,19.524700164794922,37925165,131623,132814,4,1/1,1,贸易Ⅱ
42,003033,征和工业,10.0,60.61,297459568,4893872141.62,4954867500.0,6.425326824188232,107669361,131803,131803,0,1/1,1,摩托车及
43,002263,大东南,10.0,4.51,1969953744,8471336401.0,8471404032.96,24.7474422454834,100264466,132045,132045,0,4/3,1,塑料
44,000913,钱江摩托,10.033002853393555,16.67,549072944,8670158685.0,8778313711.68,6.512219429016113,56337932,132624,140039,4,1/1,1,摩托车及
45,000030,富奥股份,10.099010467529297,5.56,276270288,9290239834.199999,9562148314.88,3.059433698654175,45705535,132700,132700,0,1/1,1,汽车零部
46,000678,襄阳轴承,10.008703231811523,12.64,306939840,5809493114.08,5809493050.88,5.4558491706848145,69257985,133015,133015,0,1/1,1,汽车零部
47,301255,通力科技,20.0,29.76,243220762,1133260800.0,4533043200.0,22.72686767578125,45756000,133306,133306,0,1/1,1,通用设备
48,600184,光电股份,9.976105690002441,18.41,655146048,10728012685.88,10728012759.52,6.502164840698242,95099763,134625,134625,0,1/1,1,地面兵装
49,000070,特发信息,10.012360572814941,17.8,2662710048,15818483565.6,16026136870.400002,17.728818893432617,145646399,135048,135048,0,1/1,1,通信设备
50,603660,苏州科达,10.056497573852539,9.74,336991120,5566338859.04,5608156107.52,6.262819766998291,131568114,140300,140300,0,1/1,1,计算机设
51,605116,奥锐特,9.992515563964844,29.39,384524832,11937725247.26,11937725188.48,3.401858329772949,95253754,142530,142530,0,1/1,1,化学制药
52,002580,圣阳股份,9.993753433227539,17.61,1916010528,7965686268.0,7992632949.12,25.404220581054688,372030215,143542,143542,0,1/1,1,电池
53,002082,万邦德,10.018214225769043,30.2,2008597952,16708238244.4,18473009491.2,12.739083290100098,30816080,145042,145145,1,6/4,1,化学制药
